S_No,State,District,Block_Talu,Village,Latitude,Longitude,Elevation_,Aquifer_11,Aquifer_12,AquiferCod
1,Tamil Nadu,Coimbatore,Udumalpetu,Guruvappanaikkanur,10.50833,77.24722,385.0,8.0,8,GNO3
2,Tamil Nadu,Coimbatore,Pollachi South,Nagur,10.72361,76.98,182.07,7.0,7,CK01
3,Tamil Nadu,Coimbatore,Pollachi North,Pulliyampatti,10.68056,77.03472,319.0,10.0,10,CK01
4,Tamil Nadu,Coimbatore,Anamalai,Somanthuraichittur,10.57222,76.99111,283.5,12.0,12,GNO3
5,Tamil Nadu,Coimbatore,Annur,Periyaputhur,11.22861,77.02583,366.0,18.0,18,GNO3
6,Tamil Nadu,Coimbatore,Madukarai,Chettipalayam,10.91694,77.03583,413.0,17.0,17,GNO3
7,Tamil Nadu,Coimbatore,Kinathukadavu,Vadasithur,10.83278,77.08056,333.0,11.0,11,GNO3
8,Tamil Nadu,Coimbatore,Sulthanpetu,Edayarpalayam,10.92222,77.10806,434.0,12.0,12,GNO3
9,Tamil Nadu,Coimbatore,Annur,Kanjapalli,11.2325,77.14306,370.0,6.0,6,GNO3
10,Tamil Nadu,Coimbatore,Coimbatore North,Koundampalayam,11.040142,76.948627,441.0,33.0,33,GNO3
11,Tamil Nadu,Coimbatore,Sulur,Rayarpalayam,11.17444,77.11861,371.0,33.0,33,GNO3
12,Tamil Nadu,Coimbatore,Sultanpet,Senjerimalai Yadipalayam,10.82806,77.1975,364.0,11.0,11,GNO3
13,Tamil Nadu,Coimbatore,Kinnathukadavu,Seripalayam,10.79,77.09056,337.0,10.0,10,GNO3
14,Tamil Nadu,Coimbatore,Karamadai,Suthanthipuram,11.29306,76.94833,326.0,10.0,10,GNO3
15,Tamil Nadu,Cuddalore,Nallur,Sheppakkam,11.5612,79.1445,70.0,11.0,11,GN03
16,Tamil Nadu,Cuddalore,Mangalur,S.Narayur,11.5533,78.9411,116.0,15.0,15,CK01
17,Tamil Nadu,Cuddalore,Mangalur,Tholudur,11.41484,78.992543,91.0,15.0,15,CK01
18,Tamil Nadu,Dharmapuri,Nallampalli,Adiyamankottai,12.082,78.122,480.0,20.0,20,GN03
19,Tamil Nadu,Dharmapuri,Nallampalli,Adiyamankottai EW,12.082,78.122,482.0,19.0,19,GN03
20,Tamil Nadu,Dharmapuri,Bargur,Aikondam Pz,12.44,78.311,467.0,11.0,11,BG01
21,Tamil Nadu,Dharmapuri,Morappur,Andipatti,12.14184,78.359323,419.0,14.5,15,CK01
22,Tamil Nadu,Dharmapuri,Morappur,Annamalaipatty,12.054214,78.423631,409.0,5.0,5,GN03
23,Tamil Nadu,Dharmapuri,Uthankarai,Badavanur Pz,12.285,78.459,409.0,5.0,5,IN02
24,Tamil Nadu,Dharmapuri,Palacode,Bandarahalli,12.264723,78.232677,442.0,6.0,6,CK01
25,Tamil Nadu,Dharmapuri,Palacode,Begarhalli,12.264396,78.140244,480.0,8.0,8,CK01
26,Tamil Nadu,Dharmapuri,Morappur,Bommahalli Pz,12.3119,78.1711,473.0,13.0,13,CK01
27,Tamil Nadu,Dharmapuri,Pennagram,Chelliyampatty EW,12.188493,78.11124,464.0,6.0,6,CK01
28,Tamil Nadu,Dharmapuri,Pennagram,Chelliyampatty,12.188493,78.11124,464.0,6.0,6,CK01
29,Tamil Nadu,Dharmapuri,Morappur,Chennampatty,12.124544,78.372009,407.0,5.0,5,GN03
30,Tamil Nadu,Dharmapuri,Morappur,Dokkampatti,12.256,78.3129,415.0,6.0,6,CK01
31,Tamil Nadu,Dharmapuri,Morappur,Echampadi,12.202,78.35,405.0,5.0,5,GN03
32,Tamil Nadu,Dharmapuri,Nallampalli,Elagiri,12.043,78.06,483.0,24.0,24,CK01
33,Tamil Nadu,Dharmapuri,Nallampalli,Elagiri EW,12.0434,78.0681,480.0,19.0,21,CK01
34,Tamil Nadu,Dharmapuri,Harur,Erumiyampatti,11.97,78.43,389.0,9.0,9,GN03
35,Tamil Nadu,Dharmapuri,Morappur,Gopinathampatti,12.132,78.316,453.0,2.0,2,CK01
36,Tamil Nadu,Dharmapuri,Palacode,Gummanur,12.487399,78.007002,631.0,11.0,11,CK01
37,Tamil Nadu,Dharmapuri,Palacode,Gummanur OW,12.487399,78.007002,631.0,5.0,5,CK01
38,Tamil Nadu,Dharmapuri,Harur,H. Toddampatti,12.18,78.42,372.0,12.0,12,GN03
39,Tamil Nadu,Dharmapuri,Morappur,J Palayam,12.190003,78.264492,429.0,5.0,5,CK01
40,Tamil Nadu,Dharmapuri,Nallampalli,Jarugu,11.9989,78.0261,470.0,11.0,11,GN03
41,Tamil Nadu,Dharmapuri,Morappur,Kamalnatham,12.03,78.036,445.0,14.0,14,IN01
42,Tamil Nadu,Dharmapuri,Morappur,M Vetrapatty,12.116145,78.405844,413.0,5.0,5,GN03
43,Tamil Nadu,Dharmapuri,Karimangalam,Matlampatti,12.395565,78.533956,448.0,24.0,24,CK01
44,Tamil Nadu,Dharmapuri,Karimangalam,Matlampatti EW,12.395565,78.533956,445.0,23.0,23,CK01
45,Tamil Nadu,Dharmapuri,Morappur,Morappur,12.109415,78.38546,401.0,5.0,5,GN03
46,Tamil Nadu,Dharmapuri,Morappur,Mottur,12.284869,78.488512,442.0,5.0,5,GN03
47,Tamil Nadu,Dharmapuri,Morappur,Nachanampatty,12.076222,78.400762,420.0,5.0,5,GN03
48,Tamil Nadu,Dharmapuri,Harur,Naripalli,12.041434,78.675711,299.0,6.0,6,GN03
49,Tamil Nadu,Dharmapuri,Pennagaram,Nulahalli,12.077074,78.174383,480.0,18.0,18,GN03
50,Tamil Nadu,Dharmapuri,Pennagaram,Nulahalli EW,12.077074,78.174383,485.0,18.0,18,CK01
51,Tamil Nadu,Dharmapuri,Rayakottai/Kelamangalam,Odayandahalli,12.5302,78.014997,649.0,12.0,12,BG01
52,Tamil Nadu,Dharmapuri,Morappur,Osahalli,12.104,78.319,450.0,15.0,15,GN03
53,Tamil Nadu,Dharmapuri,Pappireddipatti,Ottupalam,11.9786,78.1817,419.0,14.0,14,CK01
54,Tamil Nadu,Dharmapuri,Palacode,Palacode,12.315514,78.06981,518.0,17.0,17,CK01
55,Tamil Nadu,Dharmapuri,Palacode,Pattabinagar (Panchapalli -EW),12.489713,77.943618,651.0,11.0,11,BG01
56,Tamil Nadu,Dharmapuri,Palacode,Pattabinagar (Panchapalli -OW),12.489713,77.943618,651.0,11.0,11,BG01
57,Tamil Nadu,Dharmapuri,Pappireddipatti,Pattukonampatti,11.87,78.38,456.0,24.0,24,CK01
58,Tamil Nadu,Dharmapuri,Pappireddipatti,S. Tadampatti,11.947186,78.394326,372.0,17.0,17,GN03
59,Tamil Nadu,Dharmapuri,Mathur,Salappacachanampatti Pz1,12.420996,78.25373,469.0,6.0,6,BG01
60,Tamil Nadu,Dharmapuri,Mathur,Salappacachanampatti Pz2,12.420996,78.25373,469.0,15.5,16,BG01
61,Tamil Nadu,Dharmapuri,Morappur,Sandaipatty,12.0805,78.4013,416.0,5.0,5,GN03
62,Tamil Nadu,Dharmapuri,Karimangalam,Settiarkottai (Kyathnahalli Panchayat),12.309044,78.14852,466.0,5.0,5,BG01
63,Tamil Nadu,Dharmapuri,Morappur,Sinthalpady,12.073,78.357,421.0,24.0,24,GN03
64,Tamil Nadu,Dharmapuri,Pennagram,Sirugulur EW,12.0731,78.0321,468.0,20.0,20,GN03
65,Tamil Nadu,Dharmapuri,Palakkodu,Somanahalli,12.141,78.020833,484.0,19.0,19,CK01
66,Tamil Nadu,Dharmapuri,Palakkodu,Somanahalli EW,12.141,78.0276,480.0,20.0,20,BG01
67,Tamil Nadu,Dharmapuri,Palacode,Thirumalavadi,12.319813,77.955447,518.0,20.0,20,CK01
68,Tamil Nadu,Dharmapuri,Harur,Thoddampatty,12.0333,78.4638,370.0,9.0,9,GN03
69,Tamil Nadu,Dharmapuri,Morappur,Thurijapally,12.027,78.4,404.0,12.0,12,GN03
70,Tamil Nadu,Dharmapuri,Palacode,Tirumalavadi EW,12.2954,78.1595,466.0,5.0,5,CK01
71,Tamil Nadu,Dharmapuri,Pennagaram,Tottaradnahalli Pz,12.5169,78.2189,495.0,28.0,28,BG01
72,Tamil Nadu,Dharmapuri,Harur,Vallimadurai,11.956431,78.538895,465.0,13.0,13,CK01
73,Tamil Nadu,Dharmapuri,Pappireddipatti,Varattampatti Pz,12.3996,78.185,493.0,15.0,15,BG01
74,Tamil Nadu,Dharmapuri,Uthankarai,Velampatty,12.205,78.404,384.0,13.0,13,GN03
75,Tamil Nadu,Dindigul,Nilakottai,Adilakshmipuram,10.2964,77.8808,271.0,15.0,15,BG01
76,Tamil Nadu,Dindigul,Guziliamparai,Anaipatti Pz,10.401259,77.911362,199.0,15.0,15,CK01
77,Tamil Nadu,Dindigul,Sanarpatti,Avilipatti EW,10.2836,78.0978,326.0,29.0,29,BG01
78,Tamil Nadu,Dindigul,Sanarpatti,Avilipatti OW,10.2836,78.0978,326.0,25.0,25,BG01
79,Tamil Nadu,Dindigul,Dindigul,Chattarapatti,10.3454,77.816204,232.0,15.0,15,BG01
80,Tamil Nadu,Dindigul,Dindigul,Chelliyapuram,10.2692,77.8761,291.0,14.0,14,BG01
81,Tamil Nadu,Dindigul,Attur,Chitterevu Pz,10.2378,77.7708,294.0,34.0,34,CK01
82,Tamil Nadu,Dindigul,Dindigul,Dindigul Pz,10.391511,77.962639,261.0,20.0,20,BG01
83,Tamil Nadu,Dindigul,Attur,Gaulpatti,10.0456,77.8758,213.0,15.0,15,CK01
84,Tamil Nadu,Dindigul,Gujlimparai,Karunkulam Pz,10.0022,77.7956,219.0,11.0,11,GN03
85,Tamil Nadu,Dindigul,Vadamadurai,Kulathur,10.444487,78.004886,243.0,13.0,13,BG01
86,Tamil Nadu,Dindigul,Guziliamparai,Kuyyavanaikanpatti Pz,10.3675,77.8383,302.0,29.0,29,CK01
87,Tamil Nadu,Dindigul,Natham,Manakattur EW,10.4672,78.0297,247.0,19.0,19,BG01
88,Tamil Nadu,Dindigul,Natham,Manakattur OW,10.4672,78.0297,247.0,22.0,22,BG01
89,Tamil Nadu,Dindigul,Gujlimparai,Nagayyakottai EW,10.5486,78.0542,248.0,18.0,18,BG01
90,Tamil Nadu,Dindigul,Gujlimparai,Nagayyakottai OW,10.5486,78.0542,248.0,15.0,15,BG01
91,Tamil Nadu,Dindigul,Dindigul,Narsingapuram,10.292177,77.805771,303.0,13.0,13,BG01
92,Tamil Nadu,Dindigul,Nilakottai,Nilakottai EW,10.163545,77.846971,228.0,15.0,15,CK01
93,Tamil Nadu,Dindigul,Nilakottai,Nilakottai Ow,10.163632,77.847236,228.0,27.0,27,CK01
94,Tamil Nadu,Dindigul,Reddiyarchatram,Reddiyarchatram,10.4311,77.8664,271.0,16.0,16,CK01
95,Tamil Nadu,Dindigul,Vadamadurai,S. Pudhupatty EW,10.5472,78.1242,588.0,25.0,25,BG01
96,Tamil Nadu,Dindigul,Vadamadurai,S. Pudhupatty OW,10.5472,78.1242,588.0,22.0,22,BG01
97,Tamil Nadu,Dindigul,Attur,Siddayan Kottai Pz,10.2725,77.9467,330.0,18.0,18,BG01
98,Tamil Nadu,Dindigul,Dindigul,Silvattur Pz,10.35,78.0881,296.0,25.0,25,BG01
99,Tamil Nadu,Dindigul,Vadamadurai,Siranga Gaundanur,10.5067,78.1472,327.0,25.0,25,GN03
100,Tamil Nadu,Dindigul,R Chathram,Sriramapuram EW,10.524965,77.990958,308.0,28.0,28,BG01
101,Tamil Nadu,Dindigul,Vedasandur,Sriramapuram OW,10.524965,77.990958,311.0,20.0,20,BG01
102,Tamil Nadu,Dindigul,Vattalkundu,Uttappa Naicknur,10.070106,77.791923,248.0,12.0,12,CK01
103,Tamil Nadu,Dindigul,Vadamadurai,Vadamadurai,10.4428,78.1575,360.0,11.0,11,BG01
104,Tamil Nadu,Dindigul,Vattalgundu,Vattalgundu Pz,10.1733,77.7447,246.0,35.0,35,GN03
105,Tamil Nadu,Dindigul,Vadamadurai,Velvarkottai Pz,10.4117,78.0656,270.0,16.0,16,BG01
106,Tamil Nadu,Dindigul,Vattalgundu,Viruveedu Pz,10.075027,77.781337,223.0,4.5,5,CK01
107,Tamil Nadu,Kancheepuram,Kattankolathur,Guduvancherry,12.791578,79.946863,36.0,8.0,8,BG01
108,Tamil Nadu,Karur,Kadavur,D. Sittapatti EW,10.7144,78.1653,208.0,28.0,28,GN03
109,Tamil Nadu,Karur,Kadavur,D. Sittapatti OW,10.7144,78.1653,208.0,28.0,28,GN03
110,Tamil Nadu,Karur,Kadavur,Kadavur Pz,10.5936,78.1889,299.0,25.0,25,IN02
111,Tamil Nadu,Krishnagiri,Uthankarai,Attipadi,12.266,78.5352,344.0,12.1,12,GN03
112,Tamil Nadu,Krishnagiri,Sulagiri,Chamarasanapalli,12.71,78.03,726.0,11.3,11,BG01
113,Tamil Nadu,Krishnagiri,Bergur,Chindagampalli EW,12.36,78.2,520.0,10.8,11,BG01
114,Tamil Nadu,Krishnagiri,Bergur,Chindagampalli OW,12.36,78.2,525.0,10.7,11,BG01
115,Tamil Nadu,Krishnagiri,Sulagiri,Doripalli,12.72,77.97,759.0,8.3,8,BG01
116,Tamil Nadu,Krishnagiri,Kelamangalam,Geddahalli,12.42,77.8533,877.0,12.0,12,CK01
117,Tamil Nadu,Krishnagiri,Shoolagiri,Guliyam,12.59,78.02,541.0,41.0,41,BG01
118,Tamil Nadu,Krishnagiri,Sulagiri,Guliyam,12.59,78.02,688.0,5.3,5,BG01
119,Tamil Nadu,Krishnagiri,Veppanapalli,Kuppachiparai,12.62,78.13,533.0,5.3,5,GN03
120,Tamil Nadu,Krishnagiri,Veppanapalli,Kuppachiparai,12.62,78.13,533.0,12.1,12,GN03
121,Tamil Nadu,Krishnagiri,Kelamangalam,Maniyambadi,12.45,77.785,846.0,4.9,5,BG01
122,Tamil Nadu,Krishnagiri,Kelamangalam,Mugulur,12.5444,78.0197,725.0,5.3,5,BG01
123,Tamil Nadu,Krishnagiri,Kelamangalam,Nagamangalam,12.5647,77.9417,755.0,8.3,8,BG01
124,Tamil Nadu,Krishnagiri,Sulagiri,Ramandoddi,12.78,78.07,765.0,6.9,7,BG01
125,Tamil Nadu,Krishnagiri,krishnagiri,Ramapuram,12.56,78.18,510.0,5.3,5,BG01
126,Tamil Nadu,Krishnagiri,Uthankarai,Reddipatti,11.6808,78.1106,291.0,7.0,7,GN03
127,Tamil Nadu,Krishnagiri,Bargur,Surankottai,12.54,78.26,517.0,5.3,5,BG01
128,Tamil Nadu,Krishnagiri,Veppanapalli,Thottakanavi,12.7,78.2,584.0,5.3,5,GN03
129,Tamil Nadu,Krishnagiri,Veppanapalli,Thottakanavi,12.7,78.2,584.0,5.3,5,GN03
130,Tamil Nadu,Madurai,Periyur,Highways Dept campus Periyar,9.7444,77.7922,241.0,8.0,8,GN03
131,Tamil Nadu,Madurai,Madurai East,K Pudur,9.9422,78.1392,187.0,29.0,29,GN03
132,Tamil Nadu,Madurai,Kallanthiri,Kallantheri,10.0385,78.1996,176.0,6.0,6,GN03
133,Tamil Nadu,Madurai,Karungalakudi EW,Karugalagudi EW,10.1597,78.3604,163.0,6.0,6,GN03
